iter	Logloss
0	0.6782754469
1	0.6639552071
2	0.6507043175
3	0.6387101339
4	0.6260044654
5	0.6149784033
6	0.6046484825
7	0.5950582729
8	0.5853694122
9	0.5763386317
10	0.5673019137
11	0.5592861755
12	0.5514530738
13	0.5438905686
14	0.5370232365
15	0.5307216322
16	0.5249126862
17	0.5191287312
18	0.5141133305
19	0.5096936737
20	0.5047557143
21	0.5005045054
22	0.4966925617
23	0.4924418636
24	0.4883786911
25	0.4846880388
26	0.4810743681
27	0.4776599748
28	0.4743665721
29	0.471156841
30	0.4687597407
31	0.4660780327
32	0.4635844241
33	0.4612254387
34	0.4588606139
35	0.4566037285
36	0.4544360136
37	0.4520858273
38	0.4500384581
39	0.4482678665
40	0.4466598846
41	0.4450965161
42	0.443128745
43	0.4417097611
44	0.4402337435
45	0.4386452208
46	0.4372118915
47	0.4358119547
48	0.4345107338
49	0.4331245019
50	0.431827041
51	0.4308338712
52	0.4299129947
53	0.4288955752
54	0.4276497341
55	0.4265302889
56	0.4254896882
57	0.4244497397
58	0.4234563963
59	0.4226216862
60	0.4218710842
61	0.4211369789
62	0.4202367899
63	0.419547669
64	0.4188744467
65	0.4182250627
66	0.4175333238
67	0.4167939821
68	0.4160825357
69	0.4153659028
70	0.4146250649
71	0.4139643134
72	0.4132133694
73	0.4124990865
74	0.4118725766
75	0.411372875
76	0.4108928831
77	0.4103764237
78	0.4097624819
79	0.4091590259
80	0.4086129127
81	0.4081175705
82	0.4076787792
83	0.4070666734
84	0.4066273824
85	0.4061314654
86	0.4057069421
87	0.4052774945
88	0.4049367263
89	0.4045168895
90	0.4041712354
91	0.4036368801
92	0.4032510107
93	0.402860493
94	0.4026277697
95	0.4022729596
96	0.4018390368
97	0.4014537748
98	0.4009714448
99	0.4005928868
100	0.400227673
101	0.3998476552
102	0.3996764705
103	0.3992361379
104	0.3988671427
105	0.398546162
106	0.3981975732
107	0.3977937278
108	0.3974600066
109	0.3971295863
110	0.3968824272
111	0.3965825435
112	0.3962767567
113	0.3959321258
114	0.3956004747
115	0.3953312975
116	0.3950412636
117	0.3947070849
118	0.3944197289
119	0.3941710917
120	0.3940062814
121	0.3936858786
122	0.3934091791
123	0.3930687462
124	0.3927987132
125	0.3925487854
126	0.3923665255
127	0.3921343739
128	0.391941008
129	0.3916689454
130	0.3914109064
131	0.3911874587
132	0.3909807485
133	0.3908106763
134	0.3905729972
135	0.3903873031
136	0.3901996107
137	0.3899021482
138	0.3897520763
139	0.3895648862
140	0.3893565162
141	0.3890612644
142	0.388917524
143	0.3886720595
144	0.3884638311
145	0.3882901532
146	0.3881384831
147	0.3878579091
148	0.3876692122
149	0.3875130093
150	0.3873066731
151	0.3871228387
152	0.386967035
153	0.3867523376
154	0.3866904988
155	0.3864380881
156	0.3861319942
157	0.3858267445
158	0.3856988845
159	0.385507061
160	0.3853967805
161	0.3851880127
162	0.3850494606
163	0.3848505955
164	0.3846583387
165	0.3844714776
166	0.3842430308
167	0.3841002783
168	0.3838855805
169	0.3836988547
170	0.3836746579
171	0.3835099602
172	0.3833458744
173	0.3831475509
174	0.382990936
175	0.3828490733
176	0.3826781965
177	0.3825494748
178	0.3824193306
179	0.3822610086
180	0.3821035302
181	0.3819414919
182	0.3817935554
183	0.3816146824
184	0.3814496748
185	0.3811557907
186	0.3809624738
187	0.3808422762
188	0.3807355122
189	0.3806232665
190	0.3804928616
191	0.3802589377
192	0.3800886247
193	0.3799738609
194	0.3798141253
195	0.3796109725
196	0.3794814055
197	0.3793474086
198	0.37907066
199	0.3789063552
200	0.3787715072
201	0.3785396028
202	0.3783736247
203	0.3782023903
204	0.3780399281
205	0.3778651435
206	0.3777396874
207	0.3775552463
208	0.3773632881
209	0.377226208
210	0.3770140209
211	0.3769952741
212	0.3768687207
213	0.3767375371
214	0.3765530685
215	0.3764560172
216	0.3762951956
217	0.3760730434
218	0.3759343871
219	0.3758037705
220	0.3755902262
221	0.3753905008
222	0.3752507006
223	0.3751105098
224	0.3749988356
225	0.3749961898
226	0.3748695713
227	0.3747039169
228	0.3743993559
229	0.3743056774
230	0.3740968241
231	0.374016365
232	0.3738872977
233	0.3738159684
234	0.373723134
235	0.3735084988
236	0.3733802233
237	0.3731768595
238	0.373071292
239	0.3730033207
240	0.3728511509
241	0.3727683102
242	0.3727095191
243	0.3725870495
244	0.3724591974
245	0.3723308702
246	0.372226732
247	0.3721056769
248	0.3720657588
249	0.3719050141
250	0.3717849558
251	0.3716095924
252	0.3715062265
253	0.3713968493
254	0.3712859158
255	0.3710221317
256	0.3709524403
257	0.3707824386
258	0.3706491064
259	0.3705528663
260	0.3703649234
261	0.3702393343
262	0.3699862874
263	0.3697644506
264	0.3696063392
265	0.3694834667
266	0.3693364224
267	0.3692155328
268	0.3690020042
269	0.368876075
270	0.3688054869
271	0.368607339
272	0.3683370804
273	0.36825573
274	0.3681698456
275	0.3680606292
276	0.3678989779
277	0.3677825428
278	0.3675939059
279	0.3674248716
280	0.3673111299
281	0.3670562703
282	0.3669661482
283	0.366807319
284	0.3667095007
285	0.3666925325
286	0.3665085892
287	0.3663284945
288	0.366126829
289	0.3659685924
290	0.3657909002
291	0.3656815559
292	0.3654762039
293	0.3653184507
294	0.3650996702
295	0.3650142127
296	0.3648297649
297	0.3646723745
298	0.3646695748
299	0.3645008835
300	0.3644327211
301	0.3643121106
302	0.364188601
303	0.364088212
304	0.3638875004
305	0.3637021836
306	0.3636135191
307	0.363513119
308	0.3633073408
309	0.3631782636
310	0.3630488345
311	0.3629698567
