iter	Passed	Remaining
419	2313	3194
420	2317	3187
421	2320	3178
422	2324	3170
423	2327	3162
424	2336	3160
425	2342	3155
426	2349	3152
427	2353	3145
428	2359	3140
429	2368	3139
430	2372	3132
431	2377	3125
432	2395	3136
433	2398	3128
434	2402	3120
435	2405	3111
436	2409	3104
437	2412	3096
438	2415	3087
439	2419	3078
440	2422	3070
441	2426	3063
442	2430	3056
443	2435	3049
444	2441	3045
445	2446	3038
446	2450	3031
447	2454	3024
448	2459	3018
449	2463	3011
450	2468	3004
451	2473	2998
452	2480	2995
453	2486	2990
454	2491	2984
455	2496	2978
456	2500	2971
457	2505	2965
458	2511	2960
459	2517	2954
460	2523	2950
461	2529	2945
462	2533	2937
463	2538	2932
464	2543	2926
465	2548	2920
466	2554	2915
467	2558	2908
468	2562	2901
469	2567	2895
470	2572	2889
471	2577	2883
472	2583	2877
473	2589	2873
474	2594	2867
475	2598	2860
476	2604	2855
477	2608	2848
478	2612	2841
479	2617	2836
480	2625	2832
481	2630	2826
482	2636	2822
483	2641	2815
484	2645	2808
485	2650	2802
486	2655	2797
487	2660	2791
488	2664	2784
489	2670	2779
490	2674	2773
491	2678	2765
492	2684	2760
493	2688	2753
494	2691	2746
495	2695	2738
496	2700	2733
497	2704	2726
498	2708	2719
499	2712	2712
500	2750	2739
501	2755	2733
502	2761	2728
503	2767	2723
504	2773	2718
505	2779	2713
506	2784	2708
507	2790	2702
508	2796	2697
509	2802	2692
510	2809	2688
511	2816	2684
512	2821	2678
513	2827	2673
514	2834	2669
515	2838	2662
516	2845	2658
517	2851	2653
518	2857	2647
519	2878	2657
520	2883	2650
521	2887	2644
522	2895	2641
523	2901	2635
524	2909	2632
525	2917	2628
526	2935	2634
527	2944	2632
528	2949	2626
529	2957	2622
530	2963	2617
531	2984	2625
532	2987	2617
533	2993	2612
534	3001	2608
535	3005	2602
536	3012	2596
537	3017	2591
538	3021	2584
539	3027	2579
540	3033	2573
541	3037	2566
542	3043	2561
543	3048	2555
544	3053	2548
545	3058	2543
546	3063	2537
547	3067	2530
548	3071	2523
549	3084	2523
550	3089	2517
551	3094	2511
552	3100	2506
553	3106	2501
554	3112	2495
555	3118	2490
556	3126	2486
557	3133	2482
558	3142	2478
559	3146	2472
560	3150	2465
561	3156	2460
562	3161	2453
563	3165	2447
564	3172	2442
565	3176	2435
566	3181	2429
567	3187	2424
568	3192	2418
569	3196	2411
570	3218	2417
571	3223	2412
572	3228	2406
573	3234	2400
574	3239	2394
575	3244	2388
576	3250	2382
577	3255	2376
578	3259	2370
579	3264	2363
580	3269	2358
581	3274	2351
582	3280	2346
583	3285	2340
584	3290	2334
585	3296	2329
586	3306	2326
587	3311	2320
588	3320	2317
589	3326	2311
590	3350	2318
591	3354	2311
592	3358	2305
593	3366	2300
594	3371	2295
595	3377	2289
596	3396	2292
597	3401	2286
598	3406	2280
599	3414	2276
600	3419	2270
601	3424	2264
602	3431	2258
603	3436	2253
604	3441	2246
605	3447	2241
606	3452	2235
607	3457	2228
608	3464	2224
609	3480	2225
610	3485	2218
611	3489	2212
612	3514	2218
613	3518	2211
614	3523	2206
615	3530	2201
616	3537	2195
617	3547	2193
618	3552	2186
619	3578	2193
620	3582	2186
621	3586	2179
622	3593	2174
623	3597	2167
624	3602	2161
625	3609	2156
626	3613	2149
627	3618	2143
628	3624	2138
629	3629	2131
630	3634	2125
631	3641	2120
632	3645	2113
633	3649	2107
634	3655	2101
635	3660	2094
636	3664	2088
637	3668	2081
638	3674	2075
639	3678	2069
640	3682	2062
641	3689	2057
642	3718	2064
643	3723	2058
644	3727	2051
645	3732	2045
646	3738	2039
647	3743	2033
648	3748	2027
649	3755	2022
650	3760	2016
651	3765	2010
652	3770	2003
653	3774	1997
654	3778	1990
655	3784	1984
656	3789	1978
657	3793	1971
658	3797	1965
659	3802	1958
660	3806	1952
661	3811	1945
662	3816	1940
663	3820	1933
664	3825	1927
665	3829	1920
666	3835	1914
667	3840	1908
668	3845	1902
669	3851	1896
670	3855	1890
671	3859	1883
672	3865	1878
673	3871	1872
674	3876	1866
675	3882	1860
676	3887	1854
677	3893	1849
678	3903	1845
679	3907	1838
680	3912	1832
681	3917	1826
682	3921	1819
683	3925	1813
684	3932	1808
685	3938	1802
686	3944	1796
687	3949	1791
688	3955	1785
689	3960	1779
690	3965	1773
691	3969	1766
692	3974	1760
693	3979	1754
694	3983	1748
695	3988	1741
696	3993	1736
697	3997	1729
698	4001	1723
699	4006	1717
700	4010	1710
701	4015	1704
702	4018	1697
703	4023	1691
704	4028	1685
705	4032	1679
706	4036	1672
707	4041	1666
708	4047	1661
709	4055	1656
710	4060	1650
711	4065	1644
712	4072	1639
713	4078	1633
714	4087	1629
715	4094	1624
716	4100	1618
717	4145	1628
718	4155	1624
719	4164	1619
720	4171	1614
721	4187	1612
722	4192	1606
723	4199	1600
724	4204	1594
725	4210	1588
726	4214	1582
727	4219	1576
728	4223	1570
729	4227	1563
730	4233	1557
731	4238	1551
732	4242	1545
733	4247	1539
734	4251	1532
735	4255	1526
736	4260	1520
737	4265	1514
738	4269	1508
739	4275	1502
740	4280	1496
741	4285	1490
742	4304	1488
743	4307	1482
744	4312	1475
745	4315	1469
746	4320	1463
747	4324	1456
748	4327	1450
749	4331	1443
750	4335	1437
751	4339	1431
752	4345	1425
753	4348	1418
754	4353	1412
755	4357	1406
756	4360	1399
757	4363	1393
758	4368	1387
759	4371	1380
760	4375	1374
761	4378	1367
762	4382	1361
763	4399	1358
764	4403	1352
765	4407	1346
766	4411	1340
767	4414	1333
768	4417	1327
769	4420	1320
770	4423	1313
771	4426	1307
772	4430	1300
773	4433	1294
774	4437	1288
775	4440	1281
776	4444	1275
777	4447	1269
778	4451	1262
779	4454	1256
780	4458	1250
781	4461	1243
782	4465	1237
783	4469	1231
784	4472	1225
785	4476	1218
786	4479	1212
787	4483	1206
788	4487	1200
789	4491	1193
790	4495	1187
791	4499	1181
792	4503	1175
793	4507	1169
794	4512	1163
795	4516	1157
796	4521	1151
797	4525	1145
798	4530	1139
799	4534	1133
800	4539	1127
801	4544	1121
802	4548	1116
803	4553	1109
804	4556	1103
805	4560	1097
806	4579	1095
807	4584	1089
808	4587	1082
809	4589	1076
810	4593	1070
811	4614	1068
812	4618	1062
813	4622	1056
814	4628	1050
815	4632	1044
816	4635	1038
817	4639	1032
818	4644	1026
819	4661	1023
820	4666	1017
821	4669	1011
822	4673	1005
823	4678	999
824	4681	993
825	4684	986
826	4687	980
827	4694	975
828	4698	969
829	4701	963
830	4705	956
831	4710	951
832	4715	945
833	4719	939
834	4724	933
835	4730	928
836	4734	922
837	4738	915
838	4748	911
839	4751	905
840	4757	899
841	4761	893
842	4764	887
843	4768	881
844	4774	875
845	4778	869
846	4781	863
847	4785	857
848	4791	852
849	4796	846
850	4800	840
851	4805	834
852	4809	828
853	4813	822
854	4816	816
855	4822	811
856	4826	805
857	4829	799
858	4832	793
859	4839	787
860	4842	781
861	4846	775
862	4849	769
863	4855	764
864	4859	758
865	4863	752
866	4867	746
867	4883	742
868	4904	739
869	4909	733
870	4915	727
871	4926	723
872	4931	717
873	4937	711
874	4941	705
875	4945	700
876	4951	694
877	4955	688
878	4959	682
879	4963	676
880	4983	673
881	4988	667
882	4992	661
883	4998	655
884	5002	650
885	5006	644
886	5009	638
887	5014	632
888	5018	626
889	5022	620
890	5025	614
891	5031	609
892	5036	603
893	5040	597
894	5044	591
895	5050	586
896	5054	580
897	5058	574
898	5063	568
899	5068	563
900	5072	557
901	5077	551
902	5081	545
903	5085	540
904	5089	534
905	5094	528
906	5098	522
907	5102	517
908	5106	511
909	5112	505
910	5117	499
911	5127	494
912	5132	489
913	5137	483
914	5147	478
915	5152	472
916	5156	466
917	5170	461
918	5176	456
919	5181	450
920	5185	444
921	5188	438
922	5194	433
923	5198	427
924	5202	421
925	5208	416
926	5212	410
927	5216	404
928	5219	398
929	5239	394
930	5244	388
931	5248	382
932	5251	377
933	5255	371
934	5259	365
935	5263	359
936	5267	354
937	5272	348
938	5276	342
939	5280	337
940	5283	331
941	5288	325
942	5292	319
943	5296	314
944	5299	308
945	5304	302
946	5309	297
947	5312	291
948	5316	285
949	5321	280
950	5325	274
951	5329	268
952	5333	263
953	5339	257
954	5344	251
955	5348	246
956	5360	240
957	5363	235
958	5368	229
959	5372	223
960	5375	218
961	5379	212
962	5383	206
963	5387	201
964	5391	195
965	5394	189
966	5398	184
967	5403	178
968	5408	173
969	5412	167
970	5418	161
971	5423	156
972	5427	150
973	5432	145
974	5435	139
975	5439	133
976	5442	128
977	5446	122
978	5450	116
979	5453	111
980	5457	105
981	5460	100
982	5464	94
983	5468	88
984	5471	83
985	5475	77
986	5478	72
987	5483	66
988	5487	61
989	5490	55
990	5494	49
991	5503	44
992	5510	38
993	5518	33
994	5523	27
995	5528	22
996	5534	16
997	5539	11
998	5543	5
999	5547	0
